Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
ARKG,803609,3702,26.86,44,26.85,26.85,801952,1657
USHY,718529,22255,36.22,63296,36.21,36.22,379020,339509
IGV,677456,4406,82.07,2091,82.06,82.06,677050,406
VXX,654177,7788,11.96,7742,11.95,11.96,652877,1300
VHAI,471381,100,0.13,100,0.12,0.13,443317,28064
UVIX,460431,5100,6.95,902,6.94,6.94,451361,9070
FBTC,456573,580,53.88,863,53.86,53.89,451785,4788
NVDQ,368772,7000,4.10,12171,4.09,4.11,368771,1
UVXY,368098,100,27.26,513,27.25,27.27,359744,8354
IEFA,294034,6900,75.20,24600,75.19,75.20,290199,3835
INDA,232036,25685,52.15,16890,52.14,52.14,231930,106
BITX,210691,100,37.38,107,37.35,37.39,204206,6485
VIXY,191861,5400,11.88,1653,11.87,11.87,190141,1720
ITB,180378,400,108.08,3,108.07,108.07,175557,4821
COWZ,144664,1206,55.91,2493,55.90,55.90,144663,1
SVIX,132790,200,44.47,200,44.44,44.45,92461,40329
ARKB,129166,150,61.60,600,61.57,61.62,127490,1676
GOVT,126860,130450,22.42,176276,22.41,22.42,126725,135
EZU,112738,8005,52.29,4600,52.28,52.28,112528,210
CALF,102706,1500,46.88,22,46.87,46.88,101049,1657
QUAL,94659,100,163.70,451,163.68,163.72,94257,402
PAVE,85031,1600,39.25,1427,39.24,39.24,85031,0
AAAU,81140,54000,23.33,47663,23.32,23.32,81120,20
USMV,79645,1800,83.03,3300,83.02,83.02,79344,301
PICK,75117,1,44.55,112,44.46,44.48,75017,100
ICSH,71989,10276,50.42,14170,50.41,50.42,48485,23504
MTUM,68072,100,185.00,300,184.97,184.98,65403,2669
MOAT,63099,1790,88.87,1170,88.85,88.86,61208,1891
BBJP,62580,1700,56.15,1200,56.14,56.13,62580,0
EFV,57612,1201,55.98,1400,55.97,55.97,57610,2
CBOE,53803,18,180.75,2,180.71,180.72,53803,0
BUFR,50591,700,28.28,982,28.27,28.27,50591,0
SVXY,49321,200,58.50,300,58.48,58.48,48923,398
ECH,44936,200,28.81,10,28.78,28.79,44936,0
ITA,40833,804,134.78,200,134.77,134.77,40833,0
FLOT,40374,11387,50.98,5053,50.97,50.98,40368,6
NVDX,37522,1000,97.95,900,97.77,97.59,37522,0
REM,35945,10200,23.23,2072,23.22,23.21,35745,200
SING,34231,100,0.17,2000,0.17,0.17,33117,1114
SPYI,34231,386,49.67,500,49.66,49.67,34231,0
HEFA,31520,2400,35.70,1038,35.69,35.69,31520,0
IFRA,30888,400,44.40,135,44.39,44.36,24111,6777
CEFS,30010,300,20.61,289,20.51,20.53,30010,0
DFIC,29269,9814,27.19,32039,27.18,27.18,29269,0
HYD,29082,358,51.80,1306,51.79,51.80,28848,234
IDV,28473,1000,29.43,5100,29.42,29.42,28053,420
FBCG,27357,576,39.11,25,39.09,39.10,27357,0
RDVI,27002,700,23.94,100,23.92,23.93,26542,460
